"date_garde" "heure" "commune" "nom_et_prenom_pharmacien" "adresse" "full_adress" "full_date" "lon" "lat"
"30-09-2019" "22:00-08:00" "OULED FAYET" "SOUAHLA MOUNIRA" "13 ROUTE DE CHERAGA" "13 ROUTE DE CHERAGA OULED FAYET Algérie" "30-09-2019 22:00-08:00" 2.9335858 36.75824
"30-09-2019" "22:00-08:00" "REGHAIA" "LOUCIF DJAHIDA" "cite coop el amel lot n 1" "cite coop el amel lot n 1 REGHAIA Algérie" "30-09-2019 22:00-08:00" 3.3387368 36.7431477
"30-09-2019" "22:00-08:00" "ROUIBA" "BENTOURA HASSINA" "38 HAI EL NASR EL HAMIZ ROUIBA" "38 HAI EL NASR EL HAMIZ ROUIBA ROUIBA Algérie" "30-09-2019 22:00-08:00" 3.066072 36.7341842
"30-09-2019" "22:00-08:00" "SIDI MOUSSA" "BEDIRINA KHEIRA" "ROUTE DE LARBAA N°08 SIDI MOUSSA" "ROUTE DE LARBAA N°08 SIDI MOUSSA SIDI MOUSSA Algérie" "30-09-2019 22:00-08:00" 3.0897358 36.6668537
"30-09-2019" "22:00-08:00" "SIDI M'HAMED" "OULD OUALI KAMEL" "RUE HASSIBA BEN BOUALI N12" "RUE HASSIBA BEN BOUALI N12 SIDI M'HAMED Algérie" "30-09-2019 22:00-08:00" 3.0593625 36.761076
"30-09-2019" "22:00-08:00" "STAOUELI" "BOUCHAMA NAZIM" "STAOUELI" "STAOUELI STAOUELI Algérie" "30-09-2019 22:00-08:00" 2.8881795 36.7516507
"01-10-2019" "19:00-08:00" "AIN BENIAN" "BENGUERBA AMINA FATMA ZOHRA" "CITE 1000 LOGTS SOCIAUX LOCATIFS" "CITE 1000 LOGTS SOCIAUX LOCATIFS AIN BENIAN Algérie" "01-10-2019 19:00-08:00" 2.9337917 36.7965083
"01-10-2019" "19:00-08:00" "BAB EL OUED" "ABDESSMED ABDELLAH" "47 AVENUE COLONEL LOTFI" "47 AVENUE COLONEL LOTFI BAB EL OUED Algérie" "01-10-2019 19:00-08:00" 3.0537675 36.791078
"01-10-2019" "19:00-08:00" "BIR MOURAD RAIS" "CHEIKH RATIBA" "N38 RUE GUY DE MAUPASSANT LES SOURCES BIR MOURAD RAIS" "N38 RUE GUY DE MAUPASSANT LES SOURCES BIR MOURAD RAIS BIR MOURAD RAIS Algérie" "01-10-2019 19:00-08:00" 3.0626172 36.7346014
"01-10-2019" "19:00-08:00" "DOUERA" "AICHOUNE RYM" "CENTRE RAMDANIA DOUERA" "CENTRE RAMDANIA DOUERA DOUERA Algérie" "01-10-2019 19:00-08:00" 2.9275836 36.6490943
"01-10-2019" "19:00-08:00" "MOHAMMED BELOUIZDAD" "LARAK FATIHA" "244 RUE MOHAMED BELOUIZDAD" "244 RUE MOHAMED BELOUIZDAD MOHAMMED BELOUIZDAD Algérie" "01-10-2019 19:00-08:00" 3.0800387 36.7432539
"01-10-2019" "19:00-08:00" "SIDI M'HAMED" "BELARBI NOURIA" "31 rue bourdounnais place du 1er novembre" "31 rue bourdounnais place du 1er novembre SIDI M'HAMED Algérie" "01-10-2019 19:00-08:00" 3.0569187 36.7618197
"01-10-2019" "22:00-08:00" "KOUBA" "TITAH SAMIA" "29 parc ben omar kouba" "29 parc ben omar kouba KOUBA Algérie" "01-10-2019 22:00-08:00" 3.0912254 36.7254927
"02-10-2019" "19:00-08:00" "AIN BENIAN" "KHOUADER NASSIMA" "COOP ENNOUR N°17 (EX CITE 1208 LOGTS) AIN BENIAN" "COOP ENNOUR N°17 (EX CITE 1208 LOGTS) AIN BENIAN AIN BENIAN Algérie" "02-10-2019 19:00-08:00" 2.9337917 36.7965083
"02-10-2019" "19:00-08:00" "AIN TAYA" "TOUATI KHALIDA" "cite diar el gharb el djadid n 511" "cite diar el gharb el djadid n 511 AIN TAYA Algérie" "02-10-2019 19:00-08:00" 3.2602514 36.7945947
"02-10-2019" "19:00-08:00" "BAB EL OUED" "MALOUM NOUR EL HOUDA" "17 AVENUE DES CONSULATS" "17 AVENUE DES CONSULATS BAB EL OUED Algérie" "02-10-2019 19:00-08:00" 3.0513601 36.7927594
"02-10-2019" "19:00-08:00" "BIR MOURAD RAIS" "LOUNI YASMINE" "39 RUE KHOUDJA EL DJELD" "39 RUE KHOUDJA EL DJELD BIR MOURAD RAIS Algérie" "02-10-2019 19:00-08:00" 3.0504285 36.7373714
"02-10-2019" "19:00-08:00" "DOUERA" "SI YOUCEF FATIMA FERIEL" "RUE LAZZOUNI LOT N04 VILLA N?02 DOUERA" "RUE LAZZOUNI LOT N04 VILLA N?02 DOUERA DOUERA Algérie" "02-10-2019 19:00-08:00" 2.945324 36.6736582
"02-10-2019" "19:00-08:00" "KOUBA" "BOUALEM HIND SALIMA" "centre commercial garidi 1 kouba" "centre commercial garidi 1 kouba KOUBA Algérie" "02-10-2019 19:00-08:00" 3.0645572 36.7270309
"02-10-2019" "19:00-08:00" "SIDI M'HAMED" "AICHI LATIFA" "101 RUE DIDOUCHE MOURAD" "101 RUE DIDOUCHE MOURAD SIDI M'HAMED Algérie" "02-10-2019 19:00-08:00" 3.0488626 36.7645319
"03-10-2019" "19:00-08:00" "AIN BENIAN" "KOUICI NASSIB" "139 lot b djenane mebrouk AIN BENIAN" "139 lot b djenane mebrouk AIN BENIAN AIN BENIAN Algérie" "03-10-2019 19:00-08:00" 2.9337917 36.7965083
"03-10-2019" "19:00-08:00" "AIN TAYA" "DJAOUADI SAMRA" "villa n01 serecouf ain taya" "villa n01 serecouf ain taya AIN TAYA Algérie" "03-10-2019 19:00-08:00" 3.2835137 36.7852529
"03-10-2019" "19:00-08:00" "BAB EL OUED" "OMANI BOUCHERA" "12 AVENUE ABDERRAHMANE MIRA" "12 AVENUE ABDERRAHMANE MIRA BAB EL OUED Algérie" "03-10-2019 19:00-08:00" 3.0545066 36.7930935
"03-10-2019" "19:00-08:00" "BIR MOURAD RAIS" "ALI TOUDERT SALIHA" "COOPERATIVE SADAKA ROUTE SIDI YAHIA BT C N°05" "COOPERATIVE SADAKA ROUTE SIDI YAHIA BT C N°05 BIR MOURAD RAIS Algérie" "03-10-2019 19:00-08:00" 3.0462993 36.7381643
"03-10-2019" "19:00-08:00" "DOUERA" "MAMERI AHLEM" "CITE AADL 1032 LOGTS BT 04 LOCAL 05 DOUERA" "CITE AADL 1032 LOGTS BT 04 LOCAL 05 DOUERA DOUERA Algérie" "03-10-2019 19:00-08:00" 2.9275836 36.6490943
"03-10-2019" "19:00-08:00" "KOUBA" "LOUNIS ZAHIA" "ROUTE GUE DE CONSTANTINE N°14 KOUBA" "ROUTE GUE DE CONSTANTINE N°14 KOUBA KOUBA Algérie" "03-10-2019 19:00-08:00" 3.0943021 36.701484
"03-10-2019" "19:00-08:00" "SIDI M'HAMED" "ABBES NORA" "11 rue des frres bourouba belcourt" "11 rue des frres bourouba belcourt SIDI M'HAMED Algérie" "03-10-2019 19:00-08:00" 3.0537997 36.7521368
"03-10-2019" "19:00-08:00" "SIDI M'HAMED" "MAOUCHE RACHID" "11 RUE MOHAMED NADJI" "11 RUE MOHAMED NADJI SIDI M'HAMED Algérie" "03-10-2019 19:00-08:00" 3.056443 36.7610636
"04-10-2019" "19:00-08:00" "AIN BENIAN" "HELIS HICHEM" "32 RUE COLONEL SI M'HAMED" "32 RUE COLONEL SI M'HAMED AIN BENIAN Algérie" "04-10-2019 19:00-08:00" 2.9157994 36.8034142
"04-10-2019" "19:00-08:00" "AIN TAYA" "AIT GANA AZIZ" "08 PLACE DES MARTYRS" "08 PLACE DES MARTYRS AIN TAYA Algérie" "04-10-2019 19:00-08:00" 3.2835137 36.7852529
"04-10-2019" "19:00-08:00" "BAB EL OUED" "AMA SALIM" "04 RUE MOHAMED TOUAZER" "04 RUE MOHAMED TOUAZER BAB EL OUED Algérie" "04-10-2019 19:00-08:00" 3.0598361 36.7909356
"04-10-2019" "19:00-08:00" "BIR MOURAD RAIS" "GHEFFARI FAYCAL AZZEDDINE" "cite 56 logt local n°12 bloc a said hamdine" "cite 56 logt local n°12 bloc a said hamdine BIR MOURAD RAIS Algérie" "04-10-2019 19:00-08:00" 3.033837 36.7339979
"04-10-2019" "19:00-08:00" "DOUERA" "ARBAOUI HOUDA" "Cite salem madani douera" "Cite salem madani douera DOUERA Algérie" "04-10-2019 19:00-08:00" 2.9275836 36.6490943
"04-10-2019" "19:00-08:00" "KOUBA" "MEDDOUR MOUNA" "CITE JOLIE VUE 1 C N°11 KOUBA" "CITE JOLIE VUE 1 C N°11 KOUBA KOUBA Algérie" "04-10-2019 19:00-08:00" 3.0789094 36.7220742
"04-10-2019" "19:00-08:00" "MOHAMMED BELOUIZDAD" "CHERCHALI FARIDA" "06 RUE MOULOUD ZIKARA BELOUIZDAD" "06 RUE MOULOUD ZIKARA BELOUIZDAD MOHAMMED BELOUIZDAD Algérie" "04-10-2019 19:00-08:00" 3.070142 36.7505682
"05-10-2019" "08:00-19:00" "AIN BENIAN" "BENCHERIF LYNDA" "12 AVENUE PASTEUR" "12 AVENUE PASTEUR AIN BENIAN Algérie" "05-10-2019 08:00-19:00" 3.0574425 36.7722735
"05-10-2019" "08:00-19:00" "AIN TAYA" "KHEDAM FERROUDJA" "RUE ALI KHOUDJA N 19 LOCAL 4D" "RUE ALI KHOUDJA N 19 LOCAL 4D AIN TAYA Algérie" "05-10-2019 08:00-19:00" 3.287644 36.7910965
"05-10-2019" "08:00-19:00" "BIR MOURAD RAIS" "ILLOUL SAMIA" "CITE LA CONCORDE BT Q" "CITE LA CONCORDE BT Q BIR MOURAD RAIS Algérie" "05-10-2019 08:00-19:00" 3.0430707 36.7342519
"05-10-2019" "08:00-19:00" "DOUERA" "BENAMARA RAYHANE ROKIYA" "CITE 1032 LOGTS BT 07 N 03 OULED MENDIL" "CITE 1032 LOGTS BT 07 N 03 OULED MENDIL DOUERA Algérie" "05-10-2019 08:00-19:00" 2.9700567 36.650742
"05-10-2019" "08:00-19:00" "KOUBA" "ABBAD FATIHA" "BT B N 25 ZHUN KOUBA" "BT B N 25 ZHUN KOUBA KOUBA Algérie" "05-10-2019 08:00-19:00" NA NA
"05-10-2019" "08:00-19:00" "MOHAMMED BELOUIZDAD" "BOUHASSANE HASSINE" "RUE FRRES MERAKCHI N? 02" "RUE FRRES MERAKCHI N? 02 MOHAMMED BELOUIZDAD Algérie" "05-10-2019 08:00-19:00" 3.0626975 36.7519981
"05-10-2019" "19:00-08:00" "AIN BENIAN" "BOUGHLAM SOUAD" "CITE 294 LOGTS BT A 1 N2 AIN BENIAN" "CITE 294 LOGTS BT A 1 N2 AIN BENIAN AIN BENIAN Algérie" "05-10-2019 19:00-08:00" 2.9337917 36.7965083
"05-10-2019" "19:00-08:00" "AIN TAYA" "NAKIB DOUDJA" "hai si el houas n 13" "hai si el houas n 13 AIN TAYA Algérie" "05-10-2019 19:00-08:00" 3.2835137 36.7852529
"05-10-2019" "19:00-08:00" "BAB EL OUED" "GADIRI KAMEL" "15 rue ahmed hassina" "15 rue ahmed hassina BAB EL OUED Algérie" "05-10-2019 19:00-08:00" 3.0504856 36.7914274
"05-10-2019" "19:00-08:00" "BAB EL OUED" "SEKHRI NACIRA" "09 RUE MOHAMED BOUMEZRAG BAB EL OUED" "09 RUE MOHAMED BOUMEZRAG BAB EL OUED BAB EL OUED Algérie" "05-10-2019 19:00-08:00" 3.055594 36.791931
"05-10-2019" "19:00-08:00" "DOUERA" "OUHAMMA AMIRA" "ROUTE DE RAHMANIA N 63" "ROUTE DE RAHMANIA N 63 DOUERA Algérie" "05-10-2019 19:00-08:00" 2.946015 36.6682253
"05-10-2019" "19:00-08:00" "KOUBA" "BOUCHEMA FATIHA" "37 RUE MOHAMED RABIA" "37 RUE MOHAMED RABIA KOUBA Algérie" "05-10-2019 19:00-08:00" 3.088187 36.7368679
"05-10-2019" "19:00-08:00" "MOHAMMED BELOUIZDAD" "SAIDI SOUHILA" "26 NACERA NOUNOU MOHAMED" "26 NACERA NOUNOU MOHAMED MOHAMMED BELOUIZDAD Algérie" "05-10-2019 19:00-08:00" 3.070142 36.7505682
"05-10-2019" "19:00-08:00" "SIDI M'HAMED" "KERAR MERIEM" "Rue colonel melah place 1 ER MAI SIDI M'HAMED" "Rue colonel melah place 1 ER MAI SIDI M'HAMED SIDI M'HAMED Algérie" "05-10-2019 19:00-08:00" 3.0576606 36.7613516
"06-10-2019" "19:00-08:00" "AIN BENIAN" "BENRAHMOUNE OUARDA" "RUE COLONNEL SI M'HAMED N°105 AIN BENIAN" "RUE COLONNEL SI M'HAMED N°105 AIN BENIAN AIN BENIAN Algérie" "06-10-2019 19:00-08:00" 2.9166401 36.8034838
"06-10-2019" "19:00-08:00" "AIN TAYA" "ABROUS NADIA" "38 RUE EMIR KHALED" "38 RUE EMIR KHALED AIN TAYA Algérie" "06-10-2019 19:00-08:00" 3.2876369 36.7918068
"06-10-2019" "19:00-08:00" "BAB EL OUED" "DROUCHE OUIZA" "rue meriem abdelaziz el kettani beo" "rue meriem abdelaziz el kettani beo BAB EL OUED Algérie" "06-10-2019 19:00-08:00" 3.0575417 36.792349
"06-10-2019" "19:00-08:00" "BIR MOURAD RAIS" "AMROUAYACHE SAMY" "CITE 400 LOGTS BT A SECTION 22 ILOT 97 LOTS 40 ET 41" "CITE 400 LOGTS BT A SECTION 22 ILOT 97 LOTS 40 ET 41 BIR MOURAD RAIS Algérie" "06-10-2019 19:00-08:00" 3.0503737 36.7353493
"06-10-2019" "19:00-08:00" "KOUBA" "BELHADJ SAFIA" "246 PARC BEN OMAR KOUBA" "246 PARC BEN OMAR KOUBA KOUBA Algérie" "06-10-2019 19:00-08:00" 3.0912254 36.7254927
"06-10-2019" "19:00-08:00" "MOHAMMED BELOUIZDAD" "BECHARI ZOUBIDA" "44 BOULEVARD MOHAMED DOUAR" "44 BOULEVARD MOHAMED DOUAR MOHAMMED BELOUIZDAD Algérie" "06-10-2019 19:00-08:00" 3.0694298 36.7476886
